date,year,type,country,area,location,activity,sex,age,injury,fatal_(y/n),time,species,investigator_or_source,hour,type_spec
4-Apr-1970,1970,Unprovoked,GRENADA,St. Andrew Parish,Grenville,Swimming,M,14,"FATAL, body not recovered",Y,16h00,NAN,"E. Pace, FSAF",16,WOBBEGONG
Apr-1970,1970,Provoked,,,,Freediving,M,,Arm abraded & lacerated. Recorded as PROVOKED INCIDENT,N,,WOBBEGONG SHARK ,"H.D. Baldridge (1994), SAF Case #1616",,
Apr-1970,1970,Unprovoked,SOLOMON ISLANDS,,,Swimming,M,,No details,N,,WOBBEGONG SHARK,H.D. Baldridge (1994) SAF Case #1655,,
31-Mar-1970,1970,Invalid,USA,Hawaii,"Waimea Bay, O'ahu",Body surfing,M,,"Swept out to sea,  5.5 m [18'] shark seen in the vicinity, body not recovered. ",N,,SHARK INVOLVEMENT PRIOR TO DEATH WAS NOT CONFIRMED,"J. Borg, p.74",,
23-Mar-1970,1970,Unprovoked,USA,Florida,Manatee County,Wading,M,19,Foot & calf lacerated,N,Late afternoon,NAN,H.D. Baldridge (1994) SAF Case #1620,,
5-Feb-1970,1970,Unprovoked,,,,Wading,F,,Lacerations to lower leg,N,,CARPET SHARK,H.D. Baldridge (1994) SAF Case #1626,,
23-Jan-1970,1970,Unprovoked,MOZAMBIQUE,Limpopo River,3.2 km inland,Swimming,M,14,"Hands severed, forearm severely lacerated",N,,NAN,"Natal Daily News, 2/4/1970; D. Davies",,
23-Jan-1970,1970,Unprovoked,MOZAMBIQUE,Limpopo River,"Gijana, 150 km inland",Swimming,M,16,Leg severed at knee,N,,ZAMBESI SHARK,"Natal Daily News, 2/4/1970; D. Davies",,
23-Jan-1970,1970,Unprovoked,MOZAMBIQUE,Limpopo River,"Gijana, 150 km inland",Swimming,M,12,"Arm severed, thigh bitten",N,,ZAMBESI SHARK,"Natal Daily News, 2/4/1970; D. Davies",,
23-Jan-1970,1970,Unprovoked,MOZAMBIQUE,Limpopo River,"Gijana, 150 km inland",Swimming,M,10,Leg severed at knee,N,,ZAMBESI SHARK,"Natal Daily News, 2/4/1970; D. Davies",,
    16-Jan-1970,1970,Sea Disaster,EGYPT,Red Sea,A few miles south of Port Suez,Air disaster,M,,FATAL,Y,,NAN,"The Progress, 1/17/1970",,BLUE
10-Jan-1970,1970,Unprovoked,MEXICO,Guerrero,Acapulco,Swimming,M,22,Leg bitten,N,,NAN,"A. Resciniti, p.110",,
Reported 09-Jan-1970,1970,Unprovoked,ENGLAND,Devon,Teignmouth,Attempted to return injured shark to the sea,M,,Leg bitten,N,,8' BLUE SHARK,"Reading Eagle, 1/9/1970",,
 Jan-1970,1970,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,,Freediving,M,15,Lacerations to back,N,,NAN,"Brainerd Daily Dispatch, 1/13/1970",,BLUE
1970s,1970,Unprovoked,SRI LANKA,Western Province,Colombo Harbor,Spearfishing / freediving,M,,Swim fins badly torn by the shark's teeth,N,,NAN,R. I. DeSilva.GSAF,,WHITE
Late 1970s,1970,Unprovoked,SPAIN,Canary Islands,"Icod de los Vinos, Tenerife",Spearfishing,M,,Minor injury,N,,BLUE SHARK,C. Moore. GSAF,,WHITE
Ca. 1970,1970,Boat,ITALY,Sardinia,Golfo di Oristano,Fishing on a boat,M,,No injury,N,,WHITE SHARK,A. De Maddalena; M. Cottiglia (pers. Comm.),,
1970,1970,Unprovoked,CROATIA,Zadar County,Novigrad,Spearfishing,M,,No details,N,,WHITE SHARK,A. De Maddalena; A. Mojetta (pers. Comm.),,
1970s,1970,Unprovoked,IRAQ,Basrah,Shatt-al-Arab River,Washing cooking pans,F,28,Left hand severed,Y,Afternoon,NAN,B.W. Coad & L.A.J. Al-Hassan,,
1970s,1970,Unprovoked,IRAQ,Basrah,Shatt-al-Arab River near Abu al Khasib,Washing clothes on stairs,F,25,Left foot severed,Y,,NAN,B.W. Coad & L.A.J. Al-Hassan,,
1970s,1970,Unprovoked,IRAQ,Basrah,Shatt-al-Arab River,Swimming,M,35,"FATAL, left leg severed",Y,12h00,NAN,B.W. Coad & L.A.J. Al-Hassan,12,
1970s,1970,Unprovoked,IRAQ,Basrah,Shatt-al-Arab River,"Fishing, trying to catch the end of his fishing line",M,35,Left hand bitten,Y,Afternoon,NAN,B.W. Coad & L.A.J. Al-Hassan,,
30-Nov-1969,1969,Unprovoked,AUSTRALIA,Western Australia,"Swan River, 13 miles upstream",Swimming,M,15,Left thigh lacerated,Y,Afternoon,NAN,"Sydney Morning Herald, 12/1/1969 ",,
11-Nov-1969,1969,Unprovoked,USA,Hawaii,"Barber’s Point, O'ahu",Scuba diving for lobsters,M,,"Abrasions on upper leg, laceration on ankle, scuba tank bitten",N,,>2.4 M [8'] SHARK,"H.D. Baldridge, p.185; J. Borg, p.74;  L. Taylor (1993), pp.102-103",,OCEANIC
05-Nov-1969,1969,Provoked,AUSTRALIA,New South Wales,"Marineland, Sydney",,M,27,PROVOKED INCIDENT,N,,NAN,"J. Green, p.36",,WHITE
14-Oct-1969,1969,Unprovoked,USA,Hawaii,Hawaii,Diving,M,,No injury,N,Morning,OCEANIC WHITETIP SHARK,H.D. Baldridge (1994) SAF Case #1579,,
06-Sep-1969,1969,Unprovoked,USA,California,"Bird Rock, Tomales Point, near Marin County / Sonoma County border",Free diving for abalone,M,53,Leg & ankle severely bitten,N,11h20,"WHITE SHARK, 4.3 M 4.9 M [14' TO 16'] ","D. Miller & R. Collier; R. Collier, pp.42-44; H.D. Baldridge, p.78;",11,
29-Aug-1969,1969,Unprovoked,USA,Florida,"North Beach, St. Lucie County",Floating on his back,M,,Laceration to right leg,N,Afternoon,NAN,"News Tribune, 8/30/1969",,
22-Aug-1969,1969,Provoked,USA,Massachusetts,40 miles south of Nantucket,Fishing,M,28,Leg bitten by netted shark PROVOKED INCIDENT,N,,NAN,"Portsmouth Herald, 8/23/1969",,
02-Aug-1969,1969,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,Lacerations to lower leg,N,Morning,NAN,"St. Petersburg Times, 8/3/1969; H.D. Baldridge (1994) SAF Case #1570",,
02-Aug-1969,1969,Unprovoked,USA,Florida,"St. Petersburg, Pinnellas County",Body surfing,M,13,Lacerations to right lower leg & left arm and hand,Y,16h30,4' SHARK,"NYTimes, 8/3/1969",16,
Aug-1969,1969,Unprovoked,,,,,M,25,Am lacerated,N,,NAN,H.D. Baldridge (1994) SAF Case #1602,,NURSE
27-Jul-1969,1969,Provoked,ENGLAND,,,,M,,Arm lacerated. Recorded as PROVOKED INCIDENT,N,,NAN,H.D. Baldridge (1994) SAF Case #1611,,WHITE
22-Jul-1969,1969,Provoked,USA,Florida,Florida Keys,,M,13,Scrape on head. Recorded as PROVOKED INCIDENT,N,16h00,NURSE SHARK,H.D. Baldridge (1994) SAF Case #1603,16,
20-Jul-1969,1969,Unprovoked,USA,California,"Pigeon Point, San Mateo County",Freediving for abalone (at surface),M,,"Foot bitten, minor injury",N,13h00,"WHITE SHARK, 5 M [16.5'] ","D. Miller & R. Collier; R. Collier, p. 42",13,
27-Jun-1969,1969,Unprovoked,USA,Florida,Florida Keys,Wading,M,22,No details,N,1600,NAN,H.D.Baldridge (1994) SAF Case #1652,16,
12-Jun-1969,1969,Unprovoked,JAMAICA,Clarendon,Off Rocky Point,Diving,M,27,Multiple lacerations,N,Morning,NAN,"The Gleaner, 6/20/1969",,
Jun-1969,1969,Unprovoked,USA,Florida,Sarasota County,Wading,M,,No injury,N,20h00,NAN,H.D.Baldridge (1994) SAF Case #1609,20,NURSE
25-May-1969,1969,Provoked,USA,Texas,Packery Channel,Surf-fishing,M,,Foot lacerated when he stepped on the shark  PROVOKED INCIDENT,N,19h00,2' TO 3' SHARK,"Corpus Christi Times, 5/26/1969; H.D.Baldridge (1994) SAF Case #1629",19,
24-May-1969,1969,Provoked,USA,Florida,Sarasota County,Diving,M,23,Laceration to buttocks Recorded as PROVOKED INCIDENT,N,11h00,NURSE SHARK,H.D.Baldridge (1994) SAF Case #1596,11,
22-May-1969,1969,Unprovoked,DOMINICAN REPUBLIC,,,Surfing,M,18,,N,16h00,NAN,H.D.Baldridge (1994) SAF Case #1607,16,
14-May-1969,1969,Unprovoked,AUSTRALIA,Queensland,Broomfield Reef,,,,Survived,N,,NAN,"J. Green, p.36",,LEMON
22-Apr-1969,1969,Invalid,AUSTRALIA,New South Wales,"Kingscliffe Beach, south of Tweed Heads",Netting pilchards,M,,No injury,N,,"CONSIDERED A ""DOUBTFUL"" INCIDENT","J. Green, p.36",,
19-Aug-1969,1969,Provoked,USA,Florida,"Marathon, Monroe County",Fishing,M,,Laceration to foot from dead shark PROVOKED INCIDENT,N,,"LEMON SHARK, 9' ","Tri-City Herald, 4/21/1969",,WHITE
25-Mar-1969,1969,Provoked,AUSTRALIA,New South Wales,Newcastle,,M,65,Foot lacerated. Recorded as PROVOKED INCIDENT,N,,MAKO SHARK,H.D.Baldridge (1994) SAF Case #1612,,
09-Mar-1969,1969,Unprovoked,USA,Hawaii,"Makaha, O'ahu",Surfing,M,16,Leg & surfboard bitten,N,17h30,"WHITE SHARK, IDENTIFIED BY TOOTH FRAGMENTS IN SURFBOARD","J. Borg, p.73; L. Taylor (1993), pp.102-103",17,
Reported 17-Feb-1969,1969,Provoked,AUSTRALIA,Tasmania,Taroona,Fishing,M,49,Lacerations to hand from hooked shark PROVOKED INCIDENT,N,Daytime,7-GILL SHARK,"C. Black, GSAF",,
Feb-1969,1969,Invalid,AUSTRALIA,Queensland,Cooktown,Hard hat diving,M,52,No details,N,,QUESTIONABLE INCIDENT,H.D.Baldridge (1994) SAF Case #1591,,
27-Jan-1969,1969,Unprovoked,AUSTRALIA,New South Wales,Beecroft Head,Freediving,M,21,Abrasions and lacerations to lower right leg,N,07h30,NAN,H.D.Baldridge (1994) SAF Case #1560,07,
Jan-1969,1969,Unprovoked,AUSTRALIA,Victoria,Port MacDonnel,,M,,Minor injury ,N,,CARPET SHARK,"H.D.Baldridge (1994), SAF Case #1594",,
Winter 1969,1969,Provoked,BAHAMAS,Eleuthera,,Sight-seeing,,,"No injury to occupants, shark grabbed prop, Leodorn hit shark with oar, shark bit oar in half PROVOKED INCIDENT",N,,10' SHARK,"M. Vorenberg, p.154",,NURSE
29-Dec-1968,1968,Invalid,SOUTH AFRICA,KwaZulu-Natal,Port St. John's,Freediving,M,,No injury,N,,QUESTIONABLE INCIDENT,H.D.Baldridge (1994) SAF Case #1588. Note: Unable to verify in local records,,WHITE
26-Dec-1968,1968,Provoked,AUSTRALIA,New South Wales,"Marineland Aquarium, Manley, Sydney",Feeding mullet to sharks,M,27,Laceration to finger by a captive shark PROVOKED INCIDENT,N,Morning,"GREY NURSE SHARK, 10' ","The Age, 12/27/1968",,WHITE
25-Dec-1968,1968,Unprovoked,NEW ZEALAND,South Island,"St. Clair Beach, Dunedin",Surfing,M,17,"Hit in face by shark, arm abraded, surfboard bitten",Y,17h45,WHITE SHARK,"R. D. Weeks, GSAF; Otago Daily Times, 12/26/1968",17,
09-Dec-1968,1968,Unprovoked,AUSTRALIA,South Australia,Thistle Island,,M,,Survived,N,,WHITE SHARK,"T. Peake, GSAF",,
02-Dec-1968,1968,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Bluff, Durban",Spearfishing,M,28,"No injury, left elbow & torso bumped by sharks",Y,,"2 SCALLOPED HAMMERHEAD SHARKS, 1.5 M & 1.8 M [5' & 6']","A. Heydorn, ORI",,
Dec-1968,1968,Invalid,SOUTH AFRICA,KwaZulu-Natal,,,M,30,No injury,N,,QUESTIONABLE INCIDENT,H.D. Baldridge (1994) SAF Case #1587;  Unable to authenticate,,
06-Nov-1968,1968,Boat,SOUTH AFRICA,KwaZulu-Natal,Ramsgate,Fishing,M,22,"Shark leapt into boat, landed on Hlope's back, then bit his left forearm",Y,,"90-KG ""BLACKFIN"" SHARK","M. Levine, GSAF",,
04-Nov-1968,1968,Sea Disaster,PAPUA NEW GUINEA,Madang Province,,Wreck of the Storm King,,,Remains recovered days later from shark,N,,SHARK INVOLVEMENT PRIOR TO DEATH WAS NOT CONFIRMED,"The Sydney Morning Herald, 11/9/1968",,
02-Nov-1968,1968,Provoked,AUSTRALIA,Western Australia,,,M,16,Abrasion on shoulder Recorded as PROVOKED INCIDENT,N,15h00,NAN,H.D. Baldridge (1994) SAF Case #1533,15,BULL
29-Oct-1968,1968,Provoked,BAHAMAS,,,,M,,Calf injured Recorded as PROVOKED INCIDENT,N,22h00,NAN,H.D. Baldridge (1994) SAF Case #1565,22,
13-Oct-1968,1968,Unprovoked,USA,Florida,"Egmont Key, Hillsborough County",Spearfishing using Scuba,M,,Swim fin bitten,N,,3 M [10'] BULL SHARK,"H.D. Baldridge, p.185",,
10-Oct-1968,1968,Sea Disaster,PHILIPPINES,Moro Gulf,,Sinking of the ferryboat Dumaguete ,,,Survived,N,,NAN,"Fresno Bee Republican, 10/12/1968",,WHITE
22-Sep-1968,1968,Invalid,USA,Florida,"Riviera Beach, Palm Beach County",Surfing,,,,N,12h48,SHARK INVOLVEMENT NOT CONFIRMED," M. Vorenberg, GSAF",12,
15-Sep-1968,1968,Unprovoked,NEW ZEALAND,South Island,Otago Harbor,Spearfishing,M,24,"FATAL, left leg bitten, femoral artery severed  ",Y,10h15,"WHITE SHARK, 4.3 M [14'], (TOOTH FRAGMENT RECOVERED)","R.D. Weeks, GSAF; Otago Daily Times, 9/16/1968; H.D. Baldridge, pp.18-19",10,
24-Aug-1968,1968,Unprovoked,USA,Florida,Half mile north of Juno Beach Pier,Playing with a frisbee in the shallows,,12,"Shark bumped Colleen, the nudged Scott, then bit Frisbee & swam away with it",N,16h00,A SMALL HAMMERHEAD SHARK,"M. Vorenberg, GSAF",16,
21-Aug-1968,1968,Unprovoked,USA,Florida,Okaloosa County,Standing,M,15,Leg & arm bitten,N,17h00,NAN,"Brownsville Herald, 8/14/1968; H.D.Baldridge, SAF Case  #1553",17,
13-Aug-1968,1968,Unprovoked,FRENCH POLYNESIA,Society Islands,Tahiti,Swimming,M,12,Finger severed,N,,NAN,"H.D.Baldridge, SAF Case #1531",,
11-Aug-1968,1968,Unprovoked,MALAYSIA,Johor,Pulau Aur,Leaving the water,,41,Hand lacerated,N,08h00,NAN,"H.D.Baldridge, SAF Case #1541",08,WHITE
08-Aug-1968,1968,Unprovoked,COLUMBIA,Magdalena Department,"Makuaka Caño, Taganga",Dynamite fishing,M,18,Lacerations to head,N,10h30,2 M SHARK,"SoHo.com, 11/19/2-11",10,
27-Jul-1968,1968,Unprovoked,USA,California,"Bodega Rock, Sonoma County",Free diving,M,25,Major injury to torso,N,11h00,"WHITE SHARK, 4 M [13'] ","D. Miller & R. Collier; R. Collier, pp.41-42; H.D. Baldridge, p.76, 138, 191, 194, 206",11,
23-Jul-1968,1968,Unprovoked,USA,Florida,Florida Keys,Wading,M,33,Abrasions on lower leg,N,13h30,NAN,"H.D.Baldridge, SAF Case #1542",13,
16-Jul-1968,1968,Unprovoked,USA,South Carolina,"Stono Inlet, near Charleston, Charleston County",Spearfishing using Scuba,M,33,Swimfin & knee bitten,N,Afternoon,4M [13'] SHARK,"H.D.Baldridge, p.284",,
10-Jul-1968,1968,Unprovoked,BAHAMAS,Great Exuma Island,Children's Bay Cay near Rollerville,Small boat with 2 men onboard hit a submerged coral formation. Men began swimming to shore,M,,"FATAL, taken by shark  ",Y,,NAN,"Reported by F.S.T. Baker to M. Vorenberg, pp.154-155",,CARIBBEAN
Jul-1968,1968,Invalid,MEXICO,Baja California,,,M,43,No injury,N,Afternoon,NOT AUTHENTICATED,"H.D.Baldridge, SAF Case #1613",,
25-Jun-1968,1968,Unprovoked,BAHAMAS,Eleuthera,Spanish Wells ,Spearfishing,M,17,"Bumped shoulder, bit head",N,,1.5 M TO 2 M [5' TO 6.75'] CARIBBEAN REEF SHARK ,"H.D. Baldridge, p.260; Clark, p.87",,BLUE
09-Jun-1968,1968,Unprovoked,USA,Florida,"Mullet Key, Pinellas County",Clamming,M,17,Lacerations to lower right leg & andkle,N,09h30,NAN,"Evening Indeipendent, 6/10/1968, p.3",09,
Jun-1968,1968,Unprovoked,ENGLAND,,,,M,,Arm severely lacerated,N,,BLUE SHARK,"H.D. Baldridge (1994), SAF Case #1515",,
18-May-1968,1968,Invalid,TANZANIA,Mafia Island,,Schooner sank during a storm,,,"6 people rescued, 3 shark-scavenged bodies recovered, 14 people lost ",N,,SHARK INVOLVEMENT NOT CONFIRMED,R. Wharton,,
May-1968,1968,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,,Standing,M,17,Lower leg severely lacerated,N,,NAN,H.D. Baldridge (1994) SAF Case #1520,,SILKY
29-Apr-1968,1968,Invalid,USA,Florida,"Fort Lauderdale, Broward County",Wading,M,63,Foot severely injured,N,14h00,SHARK INVOLVEMENT NOT CONFIRMED,"News Journal, 5/1/1968",14,BRONZE
20-Apr-1968,1968,Unprovoked,USA,Florida,"Palm Beach Shores, Riviera Beach, Singer Island, Palm Beach County",,M,10,"Buttock, both legs & arm bitten",N,12h30,2.7 M [9'] SILKY SHARK,"M. Vorenberg, GSAF; R. Skocik, pp.168-169; H.D. Baldridge, p.203; Note: A. Resciniti, p.35, also refers to an earlier attack on a snorkeler. The shark bit the boy's calf and both swim fins.",12,
15-Apr-1968,1968,Unprovoked,AUSTRALIA,New South Wales,South Coast,"Diving. Shark “swallowed’ his hand, so he threw his other around the shark and went “shark-back riding” for 30 yards until the shark opened its jaws",M,21,Hand lacerated,N,,"BRONZE WHALER SHARK, 1.8 M [6'] ","Sydney Morning Herald, 4/28/1968 ",,BLUE
Reported 11-Apr-1968,1968,Unprovoked,PAPUA NEW GUINEA,Gulf Province,Orokolo Bay,Swimming,M,,FATAL Laceration to chest,Y,,NAN,"The Age, 4/11/1968, p.4",,
07-Apr-1968,1968,Provoked,AUSTRALIA,New South Wales,Stockton Bight,,M,47,Foot lacerated Recorded as PROVOKED INCIDENT,N,Early morning,"""BLUE WHALER"" (GALEOLAMNA)","J. Green, p.36; H. D. Baldridge (1994) SAF Case #1528",,
25-Mar-1968,1968,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Richards Bay,Wading & pushing dinghy toward  the shallows,M,35,Left thigh lacerated,Y,Afternoon,1.5 M TO 1.8M [5' TO 6'] SHARK,"J. Bass, H.A. Jones, A. Heydorn & D. Illing",,
10-Mar-1968,1968,Unprovoked,USA,Florida,"Jensen Beach, Martin County",Surfing,M,20,Foot lacerated,N,Afternoon,NAN,H.D. Baldridge (1994) SAF Case #1548,,
Mar-1968,1968,Invalid,USA,Florida,Florida Keys,Treading water,M,28,No injury,N,Night,INVALID,H.D. Baldridge (1994) SAF Case #1530,,
26-Feb-1968,1968,Unprovoked,USA,Florida,Palm Beach County,Surfing,M,17,Foot lacerated,N,13h30,NAN,"H.D. Baldridge, #1549",13,
20-Feb-1968,1968,Unprovoked,AUSTRALIA,Western Australia,Swan River,Swimming,F,14,Thigh lacerated,N,Late afternoon,NAN,"J. Green, p.36",,BRONZE
18-Feb-1968,1968,Provoked,NEW ZEALAND,North Island,"Pilot Bay, Mt Maunganui ",Picking up shark by the tail,F,,Wrist bitten PROVOKED INCIDENT,N,,3' SHARK,"R.D. Weeks, GSAF; Otago Daily Times, 2/20/1968; H.D. Baldridge (1994) SAF Case #1525",,
04-Feb-1968,1968,Unprovoked,AUSTRALIA,South Australia,Cape Jervis,Spearfishing,M,26,"No injury, speargun bitten",N,18h30,"BRONZE WHALER SHARK, 3 M [10'] ","H.D. Baldridge, p.199",18,
02-Feb-1968,1968,Unprovoked,AUSTRALIA,New South Wales,Brunswick Heads,,,,Survived,N,,NAN,"J. Green, p.36",,
Feb-1968,1968,Unprovoked,MOZAMBIQUE,,,Diving,,24,No injury,N,,NAN,H.D. Baldridge (1994) SAF Case #1522,,
17-Jan-1968,1968,Unprovoked,PAPUA NEW GUINEA,Morobe Province,Finschafen,Swimming,,13,FATAL,Y,17h30,NAN,H.D. Baldridge (1994) SAF Cases #1519 & #1584,17,
1968,1968,Unprovoked,COSTA RICA,Limón Province,Parismina,Swimming after his canoe capsized,M,,FATAL,Y,,NAN,"Kokomo Tribune, 5/11/1969",,
1968,1968,Invalid,USA,Florida,"Key West, Monroe County",Diving,,,"Recovered, said to involve a 1m nurse shark",N,13h00,QUESTIONABLE INCIDENT,Unverified,13,
1968,1968,Invalid,USA,Florida,"Jensen Beach, Martin County",Surfing,,,,N,17h00,QUESTIONABLE INCIDENT,Unverified,17,
30-Dec-1967,1967,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Surfing,M,22,Right ankle & foot bitten,N,14h00,1.5 M TO 1.8 M [5' TO 6'] SHARK,"B. Pearson, M. Levine, GSAF",14,
Reported 21-Dec-1967,1967,Invalid,PAPUA NEW GUINEA,Central Province,Port Moresby,Spearfishing,M,32,No injury,N,,QUESTIONABLE INCIDENT,H.D. Baldridge (1994) ,,
18-Dec-1967,1967,Unprovoked,FIJI,,,,M,27,Arm lacerated,N,09h00,NAN,H.D.Baldridge (1994) SAF Case #1532,09,
17-Dec-1967,1967,Unprovoked,AUSTRALIA,Victoria,"Cheviot Beach, Portsea, Port Phillip Bay",Swimming,M,59,"FATAL, presumed taken by a shark, body not recovered",Y,A.M.,NAN,"H. Edwards, p.137-138",,NURSE
14-Dec-1967,1967,Provoked,USA,,,,M,,"Head, shoulder, arm lacerated. Recorded as PROVOKED INCIDENT",N,,NAN,H.D.Baldridge (1994) SAF Case #1566,,NURSE
30-Nov-1967,1967,Provoked,AUSTRALIA,New South Wales,Wollongong,Freediving,M,15,Recorded as PROVOKED INCIDENT,N,,GREY NURSE SHARK,H.D. Baldridge (1994) SAF Case #1516,,
30-Nov-1967,1967,Unprovoked,AUSTRALIA,Queensland,Surfer's Paradise,,M,18,Arm lacerated,N,,GREY NURSE SHARK,(1994) SAF Case #1524,,
15-Nov-1967,1967,Provoked,FIJI,,,Freediving,M,21,Hand lacerated by speared shark PROVOKED INCIDENT,N,Morning,NAN,H.D.Baldridge (1994) SAF Case #1537,,
04-Nov-1967,1967,Sea Disaster,PHILIPPINES,Rombion Province,Off Sibuyan Island,Sinking of the M/V Mindoro during a typhoon,,,Passengers taken by sharks,N,,NAN,"Canberra Times, 11/9/1967",,
Nov-1967,1967,Invalid,SOUTH AFRICA,KwaZulu-Natal,Brighton Beach,,F,,"Bones and brightly colored bangles recovered  3.35 m, 145.5-kg tiger shark’s gut ",N,,SHARK INVOLVEMENT PRIOR TO DEATH WAS NOT CONFIRMED,"A. Heydorn, ORI",,BLACKTIP
Reported 26-Oct-1967,1967,Unprovoked,MEXICO,Veracruz,Veracruz,Swimming,,,FATAL,Y,,NAN,"Chicago Tribune, 10/27/1967",,
17-Oct-1967,1967,Unprovoked,USA,Florida,"McArthur Beach, Singer Island, Palm Beach Shores",Standing on sandbar,M,19,Left foot bitten,Y,16h30,SMALL BLACKTIP SHARK,"M. Vorenberg, GSAF",16,
Oct-1967,1967,Unprovoked,TONGA,,,Swimming,M,17,Arm & leg bitten,N,,NAN,H.D.Baldridge (1994) SAF Case #1480,,
20-Sep-1967,1967,Invalid,USA,Hawaii,"Kailua Bay, O'ahu",Boat capsized between O'ahu & Molokai,M,,Remains found in a 3.4 m (11') tiger shark. Probable drowning & scavenging,N,,SHARK INVOLVEMENT PRIOR TO DEATH WAS NOT CONFIRMED,"J. Borg, p.73; L. Taylor (1993), pp.102-103",,
13-Sep-1967,1967,Provoked,ITALY,Brindisi Province,Brindisi,Scuba diving,M,21,"Diver shot the shark, then it injured his arm and broke his leg with its tail.  PROVOKED INCIDENT",N,,2 M SHARK,C. Moore. GSAF,,
07-Sep-1967,1967,Provoked,PAPUA NEW GUINEA,New Ireland Province,,Diving,,,"No details, listed as PROVOKED INCIDENT",N,,NAN,"H.D.Baldridge, SAF Case #1546",,
07-Sep-1967,1967,Unprovoked,USA,Florida,"Key West, Monroe County",Spearfishing,,,Survived,N,14h30,NAN,,14,
06-Sep-1967,1967,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,Lambom Island,Spearfishing,M,,FATAL,Y,,NAN,"The Age, 9/7/1967 ",,BLUE
01-Sep-1967,1967,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,"Lamassa Island, 16 miles from Lambon Island",Spearfishing,M,23,FATAL,Y,,3.7 M [12'] SHARK,"F. Dennis, pp.23-24",,
27-Aug-1967,1967,Provoked,USA,California,Ventura,Pulling shark from the water,M,24,Nipped on shoulder by captive shark PROVOKED INCIDENT,N,14h30,5' BLUE SHARK,"Ventura County Ad-Visor, 8/31/1967",14,
26-Aug-1967,1967,Unprovoked,JAPAN,Kagawa Prefecture,Sakaide,,M,19,FATAL,Y,14h30,NAN,K. Nakaya,14,WHITE
25-Aug-1967,1967,Unprovoked,ITALY,Liguria," Marinella Sarzana, La Spezia ",Spearfishing on Scuba,M,,Minor injuries to face & forearm,Y,,NAN,"C. Moore, GSAF",,
19-Aug-1967,1967,Unprovoked,AUSTRALIA,Western Australia,Jurien Bay,"Spearfishing, dived to pick up a float line",M,23,"FATAL, ""bitten in two""",Y,11h00,WHITE SHARK,"H. Edwards, pp.35-42; H.D. Baldridge, p.28; A. Sharpe, pp.132-133; A. MacCormick, p.86; J. West, ASAF",11,
15-Aug-1967,1967,Unprovoked,BERMUDA,Hamilton,Hamilton,Floating,F,19,Right foot abraded & lacerated,N,16h00,NAN,"Gettysburg Times, 8/15/1967",16,
Reported 14-Aug-1967,1967,Unprovoked,COLUMBIA,,,,M,,3 fingers were bitten by a shark,N,,NAN,"New York Times, 8/14/1967",,NURSE
10-Aug-1967,1967,Invalid,AUSTRALIA,New South Wales,Jervis Bay,Anti-sabotage night dive exercise alongside destroyer (Scuba diving),M,19,"Disappeared, no trace of men or equipment, shark attack considered",N,Night,SHARK INVOLVEMENT PRIOR TO DEATH WAS NOT CONFIRMED,"H.D. Baldridge, p.184",,SAND
07-Aug-1967,1967,Unprovoked,USA,Florida,Near Key West,Spearfishing,M,15,Shark grasped thigh,N,14h30,"NURSE SHARK, 106 CM, 28-LB, MALE ","H.D. Baldridge, p.193; Clark, p.86",14,
Aug-1967,1967,Unprovoked,BAHAMAS,Out Islands,Andros Island,Photographing sharks underwater using Scuba,M,41,"No injury, shark struck camera",N,Early afternoon,1.5 M TO 1.8 M [5' TO 6'] SANDBAR SHARK,"H.D. Baldridge, p.185",,
Aug-1967,1967,Unprovoked,SENEGAL,Cap Vert Peninsula,Hann,Beach seine netting,M,,Ankle bitten,N,04h00,1.8 M SHARK,S. Trape,04,
29-Jul-1967,1967,Unprovoked,USA,Florida,Florida Keys,Snorkeling,M,20,Foot lacerated,N,Afternoon,NAN,"H.D.Baldridge, SAF Case #1538",,
05-Jul-1967,1967,Unprovoked,TURKEY,Mugla Province,Kucukada Island,Spearfishing,M,36,FATAL,Y,13h40,NAN,"C. Moore, GSAF",13,NURSE
Jul-1967,1967,Invalid,USA,South Carolina,,Surfing,M,18,Incident not confirmed,N,16h30,QUESTIONABLE INCIDENT,H.D. Baldridge (1994) SAF Case #1637,16,WHITE
13-Jun-1967,1967,Provoked,USA,Florida,"Key West, Monroe County",Spearfishing,M,26,"After shark was speared & hit on head, it bit the diver’s foot  PROVOKED INCIDENT",Y,17h30,"NURSE SHARK, 1 M ","H.D. Baldridge, p.192; M. McDiarmid, p.70",17,BRONZE
Jun-1967,1967,Provoked,ITALY,Sicily,Stretto di Messina,Fishing boat,M,,"No injury to occupants,  harpooned shark sank boat PROVOKED INCIDENT",N,,"WHITE SHARK, 4 TO 5 M [13' TO 16.5'] ",A. De Maddalena; Giudici & Fino (1989),,NURSE
